GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,sentiment_label,stability_label,event_polarity,geo_zone,cluster_id,cluster_name,media_intensity,tension_score,sentiment_tb_score,sentiment_tb_label,rf_sentiment_pred,rf_sentiment_proba_neg,rf_sentiment_proba_neu,rf_sentiment_proba_pos
1220674171,2025-01-15,202501,2025,1,1,-0.4,-11.88405797,UNKNOWN,JUD,BN,3,negatif,neutre,cooperation,sud_centre,0,Evenements neutres,0.3562,6.142,-1.0,negatif,negatif,1.0,0.0,0.0
1220707906,2025-01-15,202501,2025,4,1,1.0,0.0,BEN,GOV,BN,10,neutre,neutre,cooperation,sud_centre,0,Evenements neutres,0.6161,-0.5,0.0901,neutre,neutre,0.0,1.0,0.0
1220708321,2025-01-15,202501,2025,4,1,1.0,0.0,UNKNOWN,GOV,BN,10,neutre,neutre,cooperation,sud_centre,0,Evenements neutres,0.6161,-0.5,-0.0873,neutre,neutre,0.0,1.0,0.0
1220695387,2025-01-15,202501,2025,12,3,-4.0,-0.708306504,AFR,UNKNOWN,BN,10,neutre,tres_instable,cooperation,sud_centre,1,Conflits et tensions,0.6161,2.3542,-0.1037,neutre,neutre,0.0,1.0,0.0
1220702354,2025-01-15,202501,2025,1,1,0.0,-6.941838649,WAF,IGO,BN,10,negatif,neutre,cooperation,sud_centre,0,Evenements neutres,0.6161,3.4709,-0.7826,negatif,negatif,1.0,0.0,0.0
1220702713,2025-01-15,202501,2025,2,1,3.0,-6.941838649,UNKNOWN,UAF,BN,10,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.6161,1.9709,-0.7114,negatif,negatif,1.0,0.0,0.0
1220702714,2025-01-15,202501,2025,11,3,-2.0,-6.941838649,UNKNOWN,UAF,BN,10,negatif,instable,cooperation,sud_centre,1,Conflits et tensions,0.6161,4.4709,-0.7188,negatif,negatif,1.0,0.0,0.0
1220579862,2025-01-14,202501,2025,12,3,-4.0,-0.845253576,AFR,UNKNOWN,BN,10,neutre,tres_instable,cooperation,sud_centre,1,Conflits et tensions,0.6161,2.4226,-0.0222,neutre,neutre,0.0,1.0,0.0
1220591804,2025-01-14,202501,2025,19,4,-10.0,-0.617283951,UNKNOWN,GOV,BN,10,neutre,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.6161,5.3086,0.0431,neutre,neutre,0.0,1.0,0.0
1220622305,2025-01-15,202501,2025,3,1,5.2,0.272851296,BEN,UNKNOWN,BN,10,neutre,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.6161,-2.4636,0.1389,neutre,neutre,0.0,1.0,0.0
