GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,NumArticles,sentiment_label,sentiment_binary,sentiment_enc,stability_label,event_polarity,geo_zone,month,media_intensity,tension_score,EventRootCode_enc,Actor1CountryCode_enc,Actor1Type1Code_enc,GoldsteinScale_scaled,AvgTone_scaled,NumMentions_scaled,cluster_id,cluster_name
1218370051,2025-01-01,202501,2025,02,1,3.0,-12.20657277,BEN,UNKNOWN,BN,10,10,negatif,0,0,stable,cooperation,sud_centre,1,0.6161,4.6033,1,5,25,0.5313523454448064,-2.3780893212113368,1.1649307575057584,0,Evenements neutres
1218419967,2025-01-01,202501,2025,04,1,1.0,-4.597701149,UNKNOWN,GOV,BN,2,2,negatif,0,0,neutre,cooperation,sud_centre,1,0.2823,1.7989,3,76,7,0.0963317787306036,-0.7304213273633913,-0.8103806064252487,0,Evenements neutres
1218419971,2025-01-01,202501,2025,04,1,1.0,-4.597701149,UNKNOWN,GOV,BN,6,6,negatif,0,0,neutre,cooperation,sud_centre,1,0.5,1.7989,3,76,7,0.0963317787306036,-0.7304213273633913,0.17727507554025476,0,Evenements neutres
1218370056,2025-01-01,202501,2025,14,3,-6.5,-5.581395349,BEN,UNKNOWN,BN,10,10,negatif,0,0,tres_instable,conflit,sud_centre,1,0.6161,6.0407,13,5,25,-1.534995346447657,-0.9434360199231332,1.1649307575057584,1,Conflits et tensions
1218370422,2025-01-01,202501,2025,01,1,-2.0,-12.20657277,UNKNOWN,GOV,BN,2,2,negatif,0,0,instable,cooperation,sud_centre,1,0.2823,7.1033,0,76,7,-0.5561990713407007,-2.3780893212113368,-0.8103806064252487,0,Evenements neutres
1218370660,2025-01-01,202501,2025,04,1,2.8,-5.581395349,NER,UNKNOWN,BN,2,2,negatif,0,0,stable,cooperation,sud_centre,1,0.2823,1.3907,3,55,25,0.4878502887733861,-0.9434360199231332,-0.8103806064252487,0,Evenements neutres
1218370661,2025-01-01,202501,2025,04,1,2.8,-5.581395349,NER,UNKNOWN,BN,8,8,negatif,0,0,stable,cooperation,sud_centre,1,0.5646,1.3907,3,55,25,0.4878502887733861,-0.9434360199231332,0.6711029165230065,0,Evenements neutres
1218419766,2025-01-01,202501,2025,04,1,1.0,-4.597701149,BEN,UNKNOWN,BN,2,2,negatif,0,0,neutre,cooperation,sud_centre,1,0.2823,1.7989,3,5,25,0.0963317787306036,-0.7304213273633913,-0.8103806064252487,0,Evenements neutres
1218370053,2025-01-01,202501,2025,04,1,1.9,-5.581395349,BEN,UNKNOWN,BN,2,2,negatif,0,0,stable,cooperation,sud_centre,1,0.2823,1.8407,3,5,25,0.2920910337519948,-0.9434360199231332,-0.8103806064252487,0,Evenements neutres
1218370054,2025-01-01,202501,2025,11,3,-2.0,-5.581395349,BEN,UNKNOWN,BN,2,2,negatif,0,0,instable,cooperation,sud_centre,1,0.2823,3.7907,10,5,25,-0.5561990713407007,-0.9434360199231332,-0.8103806064252487,1,Conflits et tensions
